2a,1/7
3b,1/6
4b,2/19
6b,2/2
7a,2/15
7b,2/3
8b,0/1
9a,2/2
9b,1/2
10a,1/1
10b,3/3
11b,2/6
12a,4/4
12b,1/1
13a,1/4
13b,0/1
14b,1/1
15a,2/2
15b,3/3
16a,3/7
17a,2/12
18b,2/2
19b,2/2
20a,3/5
21b,2/2
23a,2/3
25a,3/4
25b,1/1
27a,2/5
27b,2/9
28a,1/2
28b,1/2
29a,3/3
29b,1/1
30a,1/2
30b,1/2
31a,2/2
31b,3/5
32a,1/3
33a,2/3
33b,2/7
34b,1/1
35a,1/2
35b,1/4
36a,1/1
36b,2/5
37a,2/2
38a,3/4
39b,1/2
40a,1/7
42a,2/2
43a,1/1
43b,1/4
45b,0/7
47a,3/5
47b,2/5
48a,3/5
48b,2/4
49a,3/3
50b,1/1
51b,3/3
52b,2/5
54a,1/2
55a,3/4
56b,1/2
57a,2/2
57b,1/8
58a,1/1
58b,1/1
59b,0/14
60a,2/2
60b,1/2
61a,4/7
61b,1/1
62a,3/3
62b,2/3
63a,1/6
64a,3/3
64b,1/2
65a,1/4
66b,1/5
69a,0/1
72b,2/3
73a,1/9
73b,2/2
74a,1/1
75a,2/5
76b,0/9
77b,1/2
78a,0/1
79a,1/8
79b,2/2
80b,2/2
81a,2/6
81b,1/3
82b,2/2
83b,2/3
84b,1/4
85a,6/38
86b,1/1
87a,2/5
87b,1/2
88a,1/8
89a,2/2
89b,3/5
90a,3/3
90b,4/27
91a,1/1
91b,0/3
