2a,5/15
2b,5/9
3a,1/2
3b,4/8
4a,3/5
4b,9/26
5a,3/17
5b,1/1
6a,3/14
6b,1/6
7a,2/6
7b,3/7
8a,3/6
8b,1/2
9a,1/2
9b,2/2
10a,3/4
10b,7/12
11a,2/4
11b,1/2
12a,3/15
12b,0/4
13a,1/2
14a,1/2
15a,0/2
15b,2/7
16a,2/5
16b,3/4
17a,3/4
17b,1/2
18a,5/11
18b,1/3
19a,1/2
19b,1/1
20a,2/5
20b,4/10
21a,2/8
21b,2/4
22a,1/3
22b,2/3
23a,0/2
23b,1/13
24a,4/6
24b,4/24
25a,2/2
25b,1/3
26a,2/6
27a,1/1
27b,1/3
28a,4/4
29a,1/1
29b,2/3
30a,2/3
30b,2/4
31b,1/1
32b,1/4
33a,1/1
34a,3/4
34b,1/4
36a,1/2
36b,3/5
37a,2/2
37b,3/6
38a,6/6
38b,2/4
39a,2/7
39b,2/8
40a,3/9
