2a,1/14
2b,2/9
3a,1/2
3b,2/8
4a,2/5
4b,6/26
5a,1/16
5b,0/1
6a,2/14
6b,1/6
7a,0/6
7b,2/7
8a,0/6
8b,1/2
9a,0/2
9b,1/2
10a,3/4
10b,7/12
11a,2/4
11b,1/2
12a,1/15
12b,0/4
13a,1/2
14a,1/2
15a,0/2
15b,2/7
16a,2/5
16b,0/4
17a,0/4
17b,0/2
18a,1/11
18b,1/3
19a,1/2
19b,0/1
20a,1/5
20b,1/10
21a,1/8
21b,2/4
22a,0/3
22b,0/3
23a,0/1
23b,0/13
24a,0/6
24b,4/24
25a,0/2
25b,1/3
26a,1/6
27a,1/1
27b,0/3
28a,2/4
29a,0/1
29b,1/2
30a,2/3
30b,1/4
31b,1/1
32b,0/4
33a,0/1
34a,1/4
34b,1/3
36a,1/2
36b,1/5
37a,1/2
37b,1/6
38a,4/6
38b,2/4
39a,0/7
39b,0/8
40a,0/8
