Assumed to be correct references,Siftei Chachamim comment
Exodus 2:1,"And married the daughter of Levi.@p3 He (Amram) had separated from her due to Pharaoh’s decree and he [now] took her back and married her a second time. She, too, became youthful again. [Actually] she was 130 years old, for she was born upon their arrival in Egypt between the walls (the entrance of the city). They then spent 210 years there (in Egypt). When they left, Moshe was 80 years old. Thus, when she became pregnant with him she was 130 [years old]. [Yet,] she is referred to as “the daughter of Levi.” "
Exodus 3:1,To the edge of the wilderness.@p3 In order to distance himself from theft whereby [the sheep] will not graze in others’ fields. @d1To the mountain of God.@d2 So called because of what was destined to occur there. 
Exodus 4:2,"“What is that in your hand?”@p3 [@hh מַה זֶה@ee ] is written as one word so that it can be explained: “From that which is in your hand you deserve to be punished, for you were suspicious of righteous people.” The plain meaning of it is as a person who says to his friend, “Do you agree that the item before you is a stone?” “Yes,” he responds. “Well, watch as I turn it into wood.” "
Exodus 5:1,"Afterwards Moshe and Aharon went, etc.@p3 But the elders slipped away one by one from behind Moshe and Aharon, until they had all slipped away before they reached the palace, for they were afraid to go. They received their retribution at Sinai: “Moshe, alone, drew near to Adonoy but they (the elders) did not draw near.” [for] He (God) made them turn back. "
Exodus 6:1,"Now you will see, etc.@p3 “You have questioned My ways, not as Avraham, to whom I said, ‘for through Yitzchok will you have descendants,’ and afterwards, I said to him, ‘Bring him up as an @ITolah@it sacrifice,’ yet, he did not question My ways. Therefore: “@ITNow@it you will see. Only that which will be done to Pharaoh will you see, but not which will be done to the kings of the seven nations when I bring them (Yisrael) to the land. @d1For by [My] strong hand he will let them go.@d2 [Meaning:] “Due to My strong hand which will overpower Pharaoh will he let them go. @d1And by a strong hand he will drive them from his land.@d2 He will drive them out against their will so that they will not have a chance to prepare provisions [for the journey]. And so it is said: “The Egyptians pressed the people” — to hurry and send them away. "
Exodus 7:1,"I have made you a god to Pharaoh.@p3 [@hh אלקים@ee means here] a judge and castigator, to castigate him with plagues and sufferings. @d1Will be your spokesman.@d2 [@hh נְבִיאֶךָ@ee is] as Onkelos translates it: “your interpreter.” Similarly, wherever [you find] the term @hh נְבוּאָה@ee (prophecy) [it refers to] a person who proclaims and lets the nation hear words of admonition, and comes from the same root as @hh נִיב שְׂפָתָיִם@ee [or] @hh יָנוּב חָכְמָה@ee — “It utters wisdom,” [or] @hh וַיְכַל מֵהִתְנַבּוֹת@ee — “He ended proclaiming,” of the Book of Shmuel. In Old French he is called @ITpreideor@it — preacher. "
Exodus 8:2,"And the frog emerged.@p3 There was [only] one frog and [when] they struck at it it would split apart into various teeming swarms. That is its midrashic explanation. But as to its plain meaning, it may be said [that] the swarming of the frogs is referred to in the singular. Similarly @hh וַתְּהִי הַכִּנָּם@ee — [lit.] “There was lice” [referring to] the swarming. @ITPedoliere,@it in Old French — swarming lice, so, too @hh וַתַּעַל הַצְּפַרְדֵּעַ@ee [is translated as] @ITgrenoilliere@it in Old French — a swarm of frogs. "
Exodus 9:2,"Holding them.@p3 [@hh מַחֲזִיק בָּם@ee means] @ITholding them,@it as in “(@hh וְהֶחֱזִיקָה@ee ) and she took hold of his private parts.” "
Exodus 10:1,"Adonoy said to Moshe “Go in to Pharaoh —@p3 and warn him.” @d1I will be able to set.@d2 @hh שִׁתִי@ee is the same as @hh שׂוּמִי@ee (another version: @hh שִׂימִי@ee ), [meaning:] “that I will set.” "
Exodus 11:1,"Completely.@p3 [Onkelos translates @hh כָּלָה@ee as:] @hh גְמִירָא@ee — @ITcompletely@it [having the same meaning as] @hh כָּלִיל@ee [Here, meaning] “He will send you all away.” "
Exodus 12:1,"Adonoy said to Moshe and Aharon.@p3 Since Aharon performed, and troubled himself, in regard to the wonders, just as much as Moshe, He (God) does him this honor at the first @ITmitzvah@it, by including him with Moshe in this message. @d1In the land of Egypt —@d2 [but] outside the city. or was that not so, but [it was] rather within the city? The Torah, therefore, states [concerning Moshe’s prayer]: “When I leave the city, etc.” Now, if [regarding] prayer, which is [relatively] less significant, he would not pray within the city for it was full of idols, then, [regarding] a message [from God], which is so much more significant, how much more so [that he would leave the city.] "
Exodus 13:2,"That open the womb.@p3 [Meaning:] that is the first to open the womb as in: “(@hh פֹּטֵר מַיִם@ee ) As one who makes an opening for water, [so is] the beginning of an argument.” Similarly “@hh יַפְטִירוּ בְשָׂפָה@ee ” — @ITthey will open their lips@it @d1It is mine.@d2 “I have acquired them for Myself by My having struck down the Egyptian first-born” "
