Assumed to be correct references,Siftei Chachamim comment
Exodus 2:1,"(א)והחזירה ועשה בה לקוחין שניים. דהא מיד אחר לקוחין זו נתעברה וילדה את משה. והלא אהרן ומרים היו גדולים יותר ממשה, וא""כ ממי ילדתן. אלא וכו': ואף היא נהפכה להיות נערה. ר""ל מדכתיב בת לוי משמע שהיתה בת, דהיינו נערה: "
Exodus 3:5,"(ה)המקום. דקשה לרש""י, אדמת לשון נקבה, הוא לשון זכר. לכך פירש המקום, ר""ל, הוא קאי על המקום, ומקום לשון זכר, וק""ל:"
Exodus 4:2,"(ב)ופשוטו כאדם שאומר לחבירו כו'. אין זה כנגד הדרש, אלא בא לתרץ על מה ששאל מה זה בידך, וכי לא ידע מה בידו, והלא ראה שהוא מקל:"
Exodus 5:1,"(א)ובסיני נפרע להם ונגש משה לבדו כו'. כתב הרא""ם, תימא, דהכא משמע דהאי קרא דוהם לא יגשו אזקנים לחודיהו קאי, ואין זה אמת, שהרי לעיל מיני' כתב עלה אל ה' אתה ואהרן נדב ואביהוא ושבעים מזקני ישראל, ואחר זה כתיב ונגש משה לבדו אל ה' וגו', ואם היה זה בעבור הפרעון, אהרן מה חטא, וכן נדב ואביהוא שאינן מכלל הזקנים וכו'. והניח הדבר בצ""ע: ולע""ד אין צריך עיון גדול, שהרי כתב הרב בפ' וישמע יתרו (להלןיט,כד) אתה מחיצה לעצמך ואהרן מחיצה לעצמו, והעם אל יהרסו כל עיקר. ולא היה לזקנים מחיצה בפני עצמם אלא עמדו בתוך העם, וזה מפני הפרעון. ונדב ואביהוא, אפשר שעמדו עם אהרן במחיצה אחת. [קיצור מזרחי]:"
Exodus 6:1,"(א)למלכי שבעה אומות כשאביאם לארץ. וא""ת דהכא משמע שהי' מרמז לו עכשיו שלא יכנס משה לארץ, ולקמן בפ' בהעלותך (במדברי,כט) על פסוק נוסעים אנחנו אל המקום, פי' רש""י בעצמו, דסבר משה שיכנס לארץ. וי""ל שהי' סבר שיהיה נכנס שם וימות קודם שיכבשו שבעה אומות, דזמן ארוך היו ישראל לוחמים קודם שכבשו מלכי אומות. אבל מ""מ קשה, דהא רש""י פי' לעיל (ד,יג) על פסוק שלח נא ביד תשלח, אין סופי להכניסם לארץ, א""כ משמע בהדיא שהי' יודע משה שלא יכנס שם. וי""ל שהיה סבר, נהי דלא יכנסו על ידו ולא יהיה שר ומושל עליהם, אבל מ""מ יכנס שם כשאר ישראל. אבל מ""מ קשה, דהא לקמן בפרשת בשלח עה""פ (טו,יז) תביאמו ותטעמו פי' רש""י, נתנבא משה שלא יכנוס לארץ. וי""ל דודאי הוא שנתנבא, אבל לא בדרך נבואה ממש נתנבא, אלא ניבא ולא ידע מה ניבא: מפני ידי החזקה כו'. אבל לא תפרש שפרעה ישלחם ביד חזקה, כמ""ש ותחזק מצרים גו', כי זה נזכר בסיפא דקרא:על כרחם של ישראל יגרשם כו'. נראה לי דהכי פירושו, בשביל יד חזקה של הקב""ה, שתתחזק על מצרים, יגרשם. אבל הרא""ם פי' ביד חזקה של פרעה, שתתחזק על העם, יגרשם. ולא נהירא. [נחלת יעקב ע""ש]:"
Exodus 7:2,"(ב)כפי ששמעת מפי כו'. פירוש דלכן אמר את כל אשר אצוך, שאתה תדבר לפני פרעה כל דבור ודבור פעם אחת בקצרה, ולא יותר, כמו ששמעת מפי, ואהרן אחיך ידבר כל דבור ודבור פעמים ושלש, עד שיטעימנו וימליצנו באזני פרעה. [מהרש""ל]: "
Exodus 8:5,"(ה)ולשאול דבר גדול ולומר כו'. רוצה לומר, אם אתה תוכל לשאול אותי דבר שלא אוכל לעשותו, שתוכל אתה להתפאר עלי לאמר שאני לא אוכל לעשותו: למתי תרצה שיכרתו כו'.  וא""ת מה שאלו משה, ודאי היה מתרצה שיכרתו היום לאלתר. ויש לומר, לפי שהיה סבור משה אם יתפלל שיכרתו מיד, אז מיד היה צריך לשלח את ישראל, כמו שאמר למשה, וזה היה רע לו, לפיכך לא ידע משה באיזה יתרצה. ולפי מה שתירץ הרמב""ן בשם הנגיד, יתורץ ג""כ קושיא זו:ולא נאמר אעתר עתרו כו'. דלשון אעתיר העתירו והעתרתי משמע לשון זה הפעיל שהיא פועל יוצא, והיה ליה למכתב לשון אפעל כמו אעתר עתרו ועתרתי, כיון שהוא לשון תפלה, והתפלה אינו פועל יוצא, לכן פירש מפני וכו': כך יאמר אעתיר כו'. רוצה לומר, דלשון הפעיל קאי אדברים, והוה כאילו כתיב דברים: העתרתם עלי דבריכם הרביתם. רוצה לומר, דכתיב ביה בהדיא דבריכם: "
Exodus 9:8,"(ח)אינו נזרק אלא ביד אחת כו'. לא ידעתי מאין הוציא שזרק משה בכח. ואפשר לומר, מדכתיב השמימה ולא כתיב על השמים, כדלקמן גבי מכת ברד, ומדשני קרא, ודאי פירושו הוא שהפליג בהגבהתו עד לשמים. [רא""ם]: ונ""ל דהכי קאמר, כל דבר הנזרק, היינו בכח. דסתם זריקה היא בכל כחו, והיינו בידו אחת. ועיין בב""ר פ""ה ובויקרא רבה פ' ז'. [נחלת יעקב]: מלא חפנים שלו ושל אהרן. רוצה לומר, מדכתיב לעיל מלא חפניכם: ואחד שהלך האבק על כל ארץ מצרים. וא""ת הואיל וזה נס היה, א""כ מנא ליה לפרש שהחזיק קומצו של משה מלא חפנים שלו ושל אהרן, דילמא לא היה מחזיק, ומשה זרק בשתי ידיו. ויש לומר דמה שפירש רש""י ואחד שהלך וכו' אינו רוצה לומר דזה היה נס שהלך כל כך למרחוק, כיון שלא זרק בכח, אלא מה שקומץ אחד שהוא מעט אבק היה הולך ומתפשט על כל ארץ מצרים היה נס. ולפי מה שפירשתי לעיל דרש""י דייק ממלת השמימה שזרק משה בכח, יתורץ ג""כ קושיא זו, דכיון שהכתוב מלמדינו במלת השמימה שזרק בכח, א""כ בודאי זרקו ביד אחת שלא סמך על הנס: "
Exodus 10:1,"(א)והתרה בו. מדכתיב כי אני הכבדתי את לבו וכו', כי כל כי שבמקרא, נתינת טעם הוא אלמעלה. ואי לאו פירושו להתרות בו, מה זה נתינת טעם אלמעלה. והכי קאמר הש""י למשה, שאע""פ שכבר הודה ואמר חטאתי הפעם (לעילט,כז), ואפילו הכי ולא שלח את בני ישראל, א""כ פשיטא דלא מהני התראה, וע""ז נותן טעם כי אני הכבדתי את לבו ואת לב עבדיו, ר""ל דצריך ההתראה משום עבדיו, דעד עתה לא הכבידו את לבבם. והא דלא הכביד לבבם קודם לזה, היינו משום דעכשיו נאמר (לעילט,כ) הירא דבר ה' הניס וגו', ואלולי שהכביד גם לב עבדיו היו מפצירין בו לשלוח את בני ישראל, לפיכך הכביד לב עבדיו למען שיתי אותותי. ואע""ג שאמרו (להלןפסוקז) שלח את האנשים וגו', הא לא היתה תשובתם שלימה, שהרי לא אמרו רק שישלח האנשים, וכמו שאמר פרעה לכו נא הגברים. [נחלת יעקב, וע""ש באריכות]: שאשית אני. אין להקשות דהא בפ' ויצא (בראשיתל,מ) כתיב וישת לו עדרים, ובפ' וארא (לעילז,כג) כתיב נמי ולא שת, ולא פי' שם כלום. די""ל מדכתיב שתי בחיר""ק חסר יו""ד, הוה אמינא שאין פירושו שימי, אלא מלה אחריתי היא, כמו (תהליםיא,ג) כי השתות יהרסון צדיק מה פעל, שפירושו ל' יסוד או ל' מלחמה, כמו (ישעיהכב,ז) שות שתו השערה, לכך צריך לפרש שימי. אבל לעולם פשיטא לי' שהוא ל' שימה. ומה שמפרש אח""כ שאשית אני, ר""ל אע""פ שפי' שימי, מ""מ יש לפרשו בשתי פנים, כמו תתי, דמצינו שמשמש בשתי פנים, כמו תתי דכתיב גבי לבן בפר' ויצא יעקב (בראשיתכט,יט) טוב תתי אותה לך, שפירושו תת אני, או כמו בפ' בלק (במדברכב,יג) דכתיב כי מאן ה' לתתי להלוך עמכם, שפירושו תת אותי. לכך פי' דשתי דהכא פירושו שאשית אני. [רא""ם]: או י""ל, לכך מפרש רש""י שאשית אני, דיכול לפרש שתי ל' עבר, שכבר שם אותם. לכך פי' שאשית אני, שהוא להבא:"
Exodus 11:1,"(א)כולכם ישלח. לא מל' כלייה. ר""ל כמו גבי כליל תקטר (ויקראו, טו), דתרגם נמי המתרגם גמירא, והתם אי אפשר לפרש לשון כליון אלא ל' כולו: "
