Assumed to be correct references,Siftei Chachamim comment
Deuteronomy 2:1,"(א)אלו לא חטאו כו'. פי' שחטאם גרם להם שלא נתן הקב""ה בלב מלך אדום להניחם לעבור דרך ארצו: דרך יציאתן ממצרים כו'. ר""ל דדרך ים סוף משמע שהלכו מצפון העולם לדרום העולם שהוא כנגד הים, והלא ממערב למזרח הלכו במדבר העמים. ועל זה פירש דרך יציאתם ממצרים, כלומר כשיצאו ממצרים הלכו באלכסון דרך ים סוף ממערב למזרח, כך הלכו עכשיו, שהניחו דרכם הקצרה מדרום לצפון, והלכו בדרומה של אדום שהוא ממערב למזרח, עד שבאו לגבול מואב: כל דרומו. שלא תאמר שסבבו אותו מכל ד' רוחותיו, שזה א""א, שאם כן היה משה נכנס לארץ ישראל, שארץ אדום בצד א""י היתה, כמבואר בגבולי הארץ (במדבר לד ג). לכן פי' כל דרומה לבד עד ארץ מואב. [מהר""ן]: "
Deuteronomy 3:4,"(ד)למדתי חבל ארגב הפרכיא כו'. כלומר מתוך תרגום ירושלמי למדתי הואיל וקורין לפלטין טרכונין ש""מ דארגוב ג""כ לשון טרכונין, כלומר הפרכיא, דהיינו היכל המלך: כלומר שהמלכות נקראת על שמה כו'. דהיינו עיר חשובה: "
Deuteronomy 4:6,"(ו)זו משנה. השמירה הוא הלימוד, והעשיי' הוא קיום המצות, שכל שאינו לומד אינו עושה: בזאת תחשבו חכמים כו'. שינה הרב שמות החכמה והבינה בשמות התואר, מפני שאין החכמה והבינה בערך אל האומות רק מצד עצמן, ולא יתכן לומר לעיני העמים. והוסיף מלת תחשבו, שפירושו שתחשבו חכמים ונבונים לעיניהם: "
Deuteronomy 5:3,"(ג)בלבד כרת ה' וגו'. רצונו לתרץ בהפסוק משמע דוקא לנו ניתנו עשרת הדברות ולא לאבותינו שמתו לפנינו. והא הרבה היו שהיו קיימין בשעת מתן תורה בשנה שנייה כשיצאו ממצרים, ואף עמהם נכרתה ברית זאת והשתא לא קיימין. לכן פי' לא את אבותינו בלבד כרת ה' וגו' אלא אף אתנו: "
Deuteronomy 6:4,"(ד)ה' שהוא אלהינו עתה כו'. דאל""כ שמע ישראל ה' אחד מבעי' ליה, אלא דהוה כאילו אמר שמע ישראל, עכשיו הוא לבד ה' אלקינו, אבל יבא זמן וכו'. כלומר, שיודו כל העובדי אלילים שהוא אחד בשמים ובארץ ובארבע רוחות. והוא היחוד דמפקי רז""ל מהאי קרא, כמו שאמר הכתוב (זכריה יד ט) והיה ה' למלך וגו' ביום ההוא יהי' ה' אחד וגו': "
Deuteronomy 7:2,"(ב)לא תתן להם חן כו'. ולפי טעם זה קשה, הל""ל תחנן בנו""ן כיון שהוא ל' חן. א""נ הל""ל תחונם מלא וי""ו. לכן פירש ד""א לא תתן להם חנייה, כלומר אף אם לא תכרות אתו ברית ותאמר בלבך יהא לי למס עובד, לכן אמר ולא תתן להם שום חנייה בעולם בארץ. ולטעם אחרון קשה לא הל""ל אלא לא תחנם שאינו רשאי ליתן לו חנייה, וכ""ש שאין להכרית עמו ברית, לכן צריך גם טעם ראשון: "
Deuteronomy 8:1,"(א)כל המצוה. כפשוטו. פי' ששם מצוה הוא שם המין כאילו אמר כל המצות: ומ""א אם התחלת במצוה גמור אותה כו'. פי' כל מלשון ויכל אלהים ביום השביעי וגו' (בראשית ב ב). א""נ כל מלשון כלה, כלומר שיעשה את כולה, אם התחיל בה יגמור אותה. והמצוה דכתיב בקרא פי' מצוה אחת היא:"
Deuteronomy 9:1,"(א)אתה עצום כו'. דאם לא כן מאי ממך, בלרשת גוים גדולים ועצומים סגי:"
Deuteronomy 10:1,"(א)ובצלאל עשה משכן תחלה כו'. כלומר אל תאמר ודאי לא נצטוה על מלאכת המשכן אלא אחר יום כיפור, אבל בצלאל עשה ארון בתחלה ואח""כ משכן, ואם כן איכא למימר דזהו הארון שעשה בצלאל. לכן פירש ובצלאל עשה משכן תחלה כו':"
Deuteronomy 11:2,"(ב)תנו לב לדעת ולהבין כו'. לא שהודיעם היום שום דבר, שהרי לא הודיעם פה ידיעה חדשה:אני מדבר עכשיו כו'. פי' את הוא כמו עם. והוסיף אני מדבר, כי לולא תוספות אני מדבר אין מובן כלל, ולכך הוצרך לפרש מלת את שפירושו עם, כי על המקבל הדבור אינו נופל בו אלא מלת עם. והוסיף מלת עכשיו, כי בלא תוספות היה המובן שלא ידבר עם בניהם לעולם, רק עם אלה לבדם:"
