Ii Kings 1:1,And Moav rebelled against Israel after the death of Ah’av.
Ii Kings 1:2,"Now Ahazya fell through the lattice of his upper-chamber that was in Shomeron,
and he became sick [from his injuries].
So he sent messengers, and said to them:
Go, inquire of Baal Zevuv/Master of Flies, the god of Ekron,
whether I will live through this sickness!"
Ii Kings 1:3,"Now a messenger of Y<small>HWH</small> spoke to Eliyya the Tishbite:
Arise, go up to meet the messengers of the king of Shomeron,
and speak to them:
Is it because there is no God in Israel
[that all of] you go to inquire of Baal Zevuv, the god of Ekron?"
Ii Kings 1:4,"So therefore, thus says Y<small>HWH:</small>
The bed into which you climbed up,
you will not come down from it,
but you will die, yes, die!
And Eliyya went off."
Ii Kings 1:5,"The messengers returned to him, and he said to them:
Now why have you returned?"
Ii Kings 1:6,"They said to him:
A man came up to meet us,
and he said to us:
Go, return to the king who sent you,
and speak to him:
Thus says Y<small>HWH:</small>
Is it because there is no God in Israel
[that] you send to inquire of Baal Zevuv, the god of Ekron?
Therefore,
the bed into which you climbed up,
you will not come down from it,
but you will die, yes, die!"
Ii Kings 1:7,"He spoke to them:
What is the manner of the man who came up to meet you
and spoke these words to you?"
Ii Kings 1:8,"They said to him:
A hairy man,
with a girded-belt of leather girded about his loins.
He said:
It is Eliyya the Tishbite!"
Ii Kings 1:9,"So he sent to him a captain of fifty, with his [unit of] fifty.
He went up to him,
and here, he was sitting on top of a hill;
and he spoke to him:
O man of God, the king has spoken:
Come down!"
Ii Kings 1:10,"Eliyyahu answered
and spoke to the captain of fifty:
Now if I am a man of God,
let fire come down from the heavens
and consume you and your fifty!
And fire came down from the heavens
and consumed him and his fifty."
Ii Kings 1:11,"He sent again to him—another captain of fifty and his fifty;
he went up and spoke to him:
O man of God,
thus says the king:
Come down quickly!"
Ii Kings 1:12,"Eliyya answered and spoke to them:
If I am a man of God,
let fire come down from the heavens
and consume you and your fifty!
And fire of God came down from the heavens
and consumed him and his fifty."
